0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:18:55 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:19:05 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:19:05 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:19:05 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:19:05 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:19:05 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:19:05 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:40 +0700] "GET /QLTBYT/ListFile.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:40 +0700] "GET /QLTBYT/SystemError HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:47 +0700] "GET /QLTBYT/jsp/list_file.jsp HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:47 +0700] "GET /QLTBYT/jsp/js/device.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:47 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:47 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:47 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:47 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:47 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:21:47 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:23 +0700] "GET /QLTBYT/jsp/add_user.jsp HTTP/1.1" 200 10028
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:23 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:23 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:23 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:23 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:23 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:23 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:34 +0700] "GET /QLTBYT/jsp/list_user.jsp HTTP/1.1" 200 7862
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:34 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:34 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:34 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:34 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:34 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:30:34 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
